# Checkout-open call-site audit (plan section 14.2 Proof C).
# Every site that can obtain checkout authority, with the
# attributes section 14.2C requires. TODO in any column FAILS.
site	acquisitions	project_selector_source	attachment_selector_source	access_kind	capability_bit	intent	revalidation_point	publication_guard	typed_refusal	remote_only_degradation	bridge_disposition
crates/bbox-artifacts/src/watcher.rs::register_inner	1	watch carrier project id	carrier attachment (AttachmentId in catalog, Selected/CheckoutId on bridge)	ArtifactWatchDiscovery	artifact_watching	Read	event-time reacquisition per batch	none (registration is read-only)	registration skipped, bounded capability health	no watcher installed; durable artifact metadata remains	bridge keeps Selected/CheckoutId carriers; Phase 6 deletes them
crates/bbox-artifacts/src/watcher.rs::handle_event_batch	1	watch carrier project id	carrier attachment	ArtifactWatchDiscovery	artifact_watching	Read	reacquired for every event batch	publication guard held across event publication	batch dropped, watcher marked unavailable	no watcher to fire; metadata unaffected	shared with bridge; carrier variant differs only
crates/bbox-providers/src/providers/file.rs::resolve_catalog_file	2	shared resolver (session, default, single active, unique base)	LegacyPath for absolute refs; AttachmentId for relative	RenderFileProvider	render_output	Read	revalidate after read in read_with_lease	none (read)	error.checkout_access.* / error.project_attachment_required	attachment-required; no working-tree read	catalog-only arm; bridge uses the three sites below
crates/bbox-providers/src/providers/file.rs::discover_scope	1	v1 record project id	Selected	PublisherConfigTreeRead	repo_knowledge	Read	revalidated before the scope is used	none (read)	error.checkout_access.*	bridge-only path; catalog never calls it	bridge-only; Phase 6 deletes with the v1 lane
crates/bbox-providers/src/providers/file.rs::selected_lease	1	v1 record project id	Selected	RenderFileProvider	render_output	Read	revalidate after read in read_with_lease	none (read)	error.checkout_access.*	bridge-only path	bridge-only; Phase 6 deletes with the v1 lane
crates/bbox-providers/src/providers/file.rs::checkout_lease	1	provider checkout selection project id	CheckoutId from the session selection	RenderFileProvider	render_output	Read	revalidate after read in read_with_lease	none (read)	error.checkout_access.*	bridge-only path	bridge-only; Phase 6 deletes with the registry lane
crates/bbox-providers/src/providers/file.rs::resolve_absolute	1	v1 record scan over canonical paths	CheckoutId from the registry row	RenderFileProvider	render_output	Read	revalidate after read in read_with_lease	none (read)	error.checkout_access.*	bridge-only path	bridge-only; Phase 6 deletes with the registry lane
src/server/checkout_access.rs::project_id_for_published_scope	1	candidate project id set	Selected	PublisherConfigTreeRead	repo_knowledge	Read	revalidated before the match is accepted	none (read)	error.checkout_access.*; unavailable projects are skipped	project is simply not the publisher; lookup continues	shared; catalog resolves scope from the catalog row instead
src/server/checkout_access.rs::published_scope_for_project	1	caller project id	Selected	PublisherConfigTreeRead	repo_knowledge	Read	inside with_selected_project_access	none (read)	error.checkout_access.*	None is the explicit legacy-local state	bridge-oriented; catalog reads scope from the catalog row
src/server/checkout_access.rs::with_selected_project_access	1	caller project id	Selected	caller-supplied kind	kind's own bit	caller-supplied	revalidate after the operation returns	none (read helper)	error.checkout_access.*	attachment-required from the broker	bridge two-step; catalog uses acquire_catalog_project_lease
src/server/checkout_access.rs::acquire_selected_project_access	2	caller project id	Selected	PublisherConfigTreeRead then caller-supplied kind	repo_knowledge then the kind's own bit	Read then caller-supplied	caller revalidates the returned lease	none (acquisition helper)	error.checkout_access.*	attachment-required from the broker	bridge two-step; the scope-discovery lease is the v1-only step
src/server/checkout_access.rs::acquire_catalog_project_lease	1	shared resolver ladder plus D-033 unique-base rung	AttachmentId	caller-supplied kind	kind's own bit	caller-supplied	caller revalidates the returned lease	none (acquisition helper)	error.project_attachment_required / _ambiguous / error.checkout_access.*	attachment-required before any checkout is opened	catalog-only; bridge keeps the two-step above
src/server/checkout_access.rs::acquire_project_mutation_lease	2	caller project id	Selected	PublisherConfigTreeRead then RepositoryMutation	repo_knowledge then repo_mutation	Read then Write	caller revalidates before publication	caller holds the publication guard across durable writes	error.checkout_access.capability_denied / attachment_not_found	attachment-required; catalog-targeted mutation refuses	shared; unregistered init bootstrap stays outside it (4.19)
src/server/checkout_access.rs::with_resolved_checkout_access	1	resolved checkout scope project id	CheckoutId	caller-supplied kind	kind's own bit	caller-supplied	revalidate after the operation returns	caller supplies its own where writing	error.checkout_access.*	the checkout descriptor cannot exist without an attachment	shared; catalog resolves the descriptor natively
src/server/checkout_access.rs::with_discovery	2	watch carrier project id	Selected for scope, then carrier attachment	PublisherConfigTreeRead then ArtifactWatchDiscovery	repo_knowledge then artifact_watching	Read	publication guard reacquired per event	publication guard held across event publication	error.checkout_access.*	no watcher installed	shared trait; carrier variant differs by mode
src/server/producer_auth.rs::build	1	collected project id	Selected	PublisherConfigTreeRead	repo_knowledge	Read	revalidated before the auth snapshot is published	none (read)	error.checkout_access.*	scope unresolved; project stays legacy-local in the snapshot	shared
src/server/code_source.rs::stage_git_current_overlay_after_activation	1	activated project id	Selected	GitHistory	git_history	Read	revalidated before the overlay selector is written	overlay publication is manifest-fenced	error.checkout_access.*	no current-file overlay; stale commit docs stay labeled	shared
src/server/code_source.rs::probe_ladder_raw	1	probe project id	Selected	GitHistory	git_history	Read	probe-scoped, released immediately	none (read)	error.checkout_access.*	probe reports unavailable	shared diagnostic probe
src/server/code_source.rs::attempt_cutback_catalog	1	cutback project id with catalog identity resolved first	Selected	LocalProjectWalk	local_code_source	Read	dropped immediately after scope and capability validation	none (validation lease; the activation fence is not a publication guard)	error.checkout_access.* classified through classify_checkout_error	cutback attempt returns the classified outcome without staging	shared cutback driver
src/server/code_source.rs::probe_ladder	1	cutback probe project id	Selected	LocalProjectWalk	local_code_source	Read	probe-scoped, released immediately	none (read)	error.checkout_access.* mapped to a LadderResult	probe reports unavailable	shared diagnostic probe
src/server/knowledge_lifecycle.rs::resolve_authorized_publisher	2	elected publisher project id	Selected	PublisherConfigTreeRead	repo_knowledge	Read	revalidated inside the helper	none (read)	error.checkout_access.*	bridge-only election path	bridge-only; catalog reads accepted publication instead
src/server/knowledge_lifecycle.rs::acquire_authorized_publisher_lease	1	authorized publisher project id	Selected	PublisherConfigTreeRead	repo_knowledge	Read	caller revalidates before use	none (read)	error.checkout_access.*	bridge-only election path	bridge-only; Phase 6 deletes with PublisherRefStore
src/server/knowledge_lifecycle.rs::with_authorized_publisher_root	1	authorized publisher project id	Selected	PublisherConfigTreeRead	repo_knowledge	Read	revalidated inside the helper	none (read)	error.checkout_access.*	bridge-only election path	bridge-only; Phase 6 deletes with PublisherRefStore
src/server/knowledge_lifecycle.rs::recover_dark_knowledge_transactions_with	2	dark checkout descriptor project id	CheckoutId	KnowledgeGapOverlayRead then RepositoryMutation	repo_knowledge then repo_mutation	Read then Write	revalidated inside the helper	recovery write runs under the mutation lease	error.checkout_access.*	no dark checkout exists to recover	shared
src/server/knowledge_lifecycle.rs::reconcile_dark_knowledge_checkouts	1	registered project id	Selected	ArtifactWatchDiscovery	artifact_watching	Read	revalidated inside the helper	none (read)	error.checkout_access.*	reconciliation skips the project	shared
src/server/knowledge_lifecycle.rs::checkout_has_pending_transaction	1	dark checkout descriptor project id	CheckoutId	KnowledgeGapOverlayRead	repo_knowledge	Read	revalidated inside the helper	none (read)	error.checkout_access.*	no dark checkout exists	shared
src/server/knowledge_view.rs::acquire_catalog_overlay_lease	1	catalog project id	AttachmentId from the overlay attachment	KnowledgeGapOverlayRead	repo_knowledge	Read	revalidated before the overlay snapshot is published	none (read)	error.provisional_overlay_unavailable with the checkout code	own unavailable; all omits the peer; published unaffected	catalog-only; bridge keeps its publisher-alternate recompute
src/server/open.rs::backfill_project_languages	2	registered project id	Selected	PublisherConfigTreeRead then LocalProjectWalk	repo_knowledge then local_code_source	Read	released immediately after the walk	none (read)	error.checkout_access.*	language backfill skipped for the project	shared startup enrichment
src/server/open.rs::open_shared_state	1	registered project id	Selected	PublisherConfigTreeRead	repo_knowledge	Read	released immediately	none (read)	error.checkout_access.*	startup enrichment skipped	shared startup enrichment
src/server/repo_io.rs::with_access	2	carrier project id	Selected/CheckoutId on bridge; AttachmentId in catalog	PublisherConfigTreeRead (legacy targets only) then the caller kind	repo_knowledge then the kind's own bit	Read or Write	revalidate after the operation returns	caller holds the guard for durable writes	error.checkout_access.*	attachment-required; accepted published content still serves	native Attachment target skips the discovery lease
src/server/routes.rs::enqueue_project_knowledge_embeds	1	unique registered canonical-path match	Selected (legacy no-scope branch)	PublisherConfigTreeRead	repo_knowledge	Read	held across the enqueue read, released after	none (read; enqueue only)	error.checkout_access.* warned and skipped	enqueue skipped, returns 0 entries	bridge-only arm; catalog mode enqueues without a lease
src/tools/graph.rs::acquire_selected_operation	2	catalog resolver in catalog mode; v1 record id on bridge	AttachmentId in catalog; Selected on bridge	caller-supplied kind (Blame, ProvenanceNoteIo)	kind's own bit	Read or Write	caller revalidates after the operation	provenance export holds a publication guard	error.project_attachment_required / error.checkout_access.*	attachment-required; corpus and provenance plan remain	mode-split; bridge arm byte-identical
src/tools/graph.rs::acquire_scope_discovery	1	v1 record project id	Selected	PublisherConfigTreeRead	repo_knowledge	Read	dropped immediately after the scope is read	none (read)	error.checkout_access.*	bridge-only path	bridge-only; catalog reads scope from the catalog row
src/tools/graph.rs::acquire_file_selection	1	file selection carrier project id	selection-supplied (CheckoutId, AttachmentId, or LegacyPath)	caller-supplied kind (Blame, RenderFileProvider)	kind's own bit	Read	caller revalidates after the read	none (read)	error.checkout_access.*	attachment-required	shared; the selection differs by mode
src/tools/project_catalog.rs::bbox_project_publisher_advance	1	exact project_id parameter	exact attachment_id parameter	PublisherConfigTreeRead	repo_knowledge	Read	revalidated inside the accepted-publication lock immediately before pointer replacement	accepted-publication lock covers the durable pointer replacement	error.checkout_access.*	attachment-required before ref or committed-tree access	catalog-only publisher surface
src/tools/project_catalog.rs::bbox_project_publisher_bind	1	exact project_id parameter	exact attachment_id parameter	PublisherConfigTreeRead	repo_knowledge	Read	revalidated inside the accepted-publication lock immediately before pointer replacement	accepted-publication lock covers the durable pointer replacement	error.checkout_access.*	attachment-required before accepted-commit containment probing	catalog-only publisher surface
src/tools/projects.rs::run_post_register_pipeline	5	freshly registered project id	Selected	RepositoryMutation, ArtifactWatchDiscovery, ProvenanceNoteIo, LocalProjectWalk, GitHistory	repo_mutation, artifact_watching, provenance_note_io, local_code_source, git_history	Write then Read	each step revalidates before its result is kept	mutation step holds the publication guard	error.checkout_access.*; each step degrades independently	every enrichment step is skipped and reported	shared post-register enrichment
src/tools/projects.rs::bbox_project_init	1	init target project id	Selected	RepositoryMutation	repo_mutation	Write	revalidated before the marker is written	publication guard across the durable write	error.checkout_access.* / attachment-required	unregistered path bootstrap stays allowed (plan 4.19)	shared; catalog-targeted init takes the lease
src/tools/projects.rs::bbox_project_eject	1	eject target project id	Selected	RepositoryMutation	repo_mutation	Write	revalidated before the durable write	publication guard across the durable write	error.checkout_access.* / attachment-required	catalog-targeted eject refuses	shared
src/tools/render.rs::bbox_render	3	raw render project parameter; catalog validates selection, bridge resolves write	AttachmentId in catalog; CheckoutId or Selected on bridge	RenderFileProvider	render_output	Write	lease revalidated after the render returns	none (checkout-local provider memory render)	error.checkout_access.* / error.render_locality_required on the workspace arm	attachment-required; project render refuses with the typed error	mode-split; catalog acquires directly, bridge keeps resolver arms
src/tools/scope.rs::resolve_project_write	1	raw caller selector	LegacyPath	RepositoryMutation	repo_mutation	Write	revalidated before the checkout row is registered	mutation pin excludes detach while the row is materialized	error.checkout_access.attachment_not_found	catalog fails closed; bridge keeps the pass-through lane	shared; the bridge pass-through is v1-only
